Order_ID,Customer_ID,Gender,Age,City,Product,Category,Quantity,Price,Payment_Method,Order_Date,Customer_Segment,Discount,Rating,Total_Amount
24,8849,Male,58,Kolkata,Mobile,Electronics,3,31308,Credit Card,2021-05-10,Premium,8,3,93924
25,3047,Male,37,Delhi,Watch,Home Appliances,4,30441,Net Banking,2021-07-13,Premium,15,1,121764
26,3747,Female,58,Chennai,Headphones,Fashion,1,82333,Credit Card,2022-11-24,Premium,26,4,82333
27,1189,Male,64,Pune,Shirt,Home Appliances,3,81327,Cash,2022-03-20,Regular,21,2,243981
28,3734,Unknown,28,Hyderabad,Mobile,Electronics,2,16720,Cash,2021-03-09,Premium,12,4,33440
29,4005,Male,24,Pune,Tablet,Home Appliances,1,63237,Debit Card,2022-06-23,New,4,4,63237
30,5658,Male,55,Bangalore,TV,Fashion,2,29539,UPI,2022-09-27,New,16,4,59078
31,2899,Unknown,44,Hyderabad,Shirt,Fashion,2,88792,Debit Card,2021-09-09,New,12,1,177584
32,8734,Male,26,Delhi,Headphones,Electronics,1,25373,Cash,2022-05-20,Regular,21,3,25373
33,2267,Female,21,Chennai,Laptop,Home Appliances,1,21781,UPI,2022-11-07,Premium,18,2,21781
34,2528,Female,55,Bangalore,Mobile,Electronics,2,71394,Debit Card,2023-07-02,Premium,14,3,142788
35,4556,Female,46,Hyderabad,Bag,Electronics,2,66971,UPI,2024-08-29,Premium,9,4,133942
36,4890,Male,43,Delhi,Tablet,Accessories,2,31408,UPI,2023-05-01,Regular,9,2,62816
37,9838,Male,42,Mumbai,Shirt,Electronics,2,64901,Cash,2024-07-31,Premium,10,1,129802
38,6393,Male,31,Mumbai,TV,Fashion,3,81434,Debit Card,2021-02-21,New,6,3,244302
39,9792,Female,54,Delhi,Camera,Home Appliances,2,15316,Net Banking,2021-11-25,Premium,6,4,30632
40,9433,Male,45,Kolkata,Watch,Home Appliances,1,65731,UPI,2021-12-11,New,28,3,65731
41,8513,Unknown,25,Pune,Laptop,Electronics,1,20092,UPI,2023-09-24,New,12,4,20092
42,3612,Male,59,Chennai,Shirt,Fashion,2,23572,Cash,2022-01-02,Regular,22,2,47144
43,8041,Female,28,Kolkata,TV,Fashion,4,44427,UPI,2021-02-17,New,13,4,177708
44,7235,Unknown,52,Hyderabad,Shirt,Home Appliances,1,23148,Debit Card,2023-09-10,New,0,4,23148
45,6486,Unknown,48,Kolkata,Tablet,Home Appliances,1,31571,Net Banking,2022-04-12,New,19,2,31571
46,8099,Female,51,Kolkata,Camera,Fashion,3,25881,Net Banking,2021-05-04,Premium,13,1,77643
47,1775,Unknown,63,Hyderabad,Headphones,Accessories,4,11908,Credit Card,2021-01-31,Regular,24,4,47632
48,9226,Unknown,53,Delhi,Mobile,Electronics,4,42882,Credit Card,2022-05-05,Premium,2,2,171528
49,4152,Unknown,34,Hyderabad,Bag,Fashion,3,15131,UPI,2022-05-21,Regular,29,3,45393
50,2585,Unknown,38,Kolkata,Watch,Electronics,4,57124,Cash,2023-12-08,New,6,1,228496
51,4943,Unknown,43,Chennai,Watch,Fashion,1,66251,UPI,2024-02-16,New,29,1,66251
52,8555,Male,58,Delhi,Headphones,Home Appliances,1,84786,Net Banking,2022-03-27,New,17,1,84786
53,4073,Female,45,Pune,Shoes,Fashion,3,12942,Cash,2023-11-09,New,27,4,38826
54,2021,Female,39,Mumbai,Bag,Fashion,1,6157,Net Banking,2024-04-20,Premium,1,3,6157
55,4843,Male,58,Mumbai,Tablet,Electronics,2,21033,Credit Card,2023-06-11,New,21,3,42066
56,8989,Male,20,Bangalore,Headphones,Home Appliances,2,16544,UPI,2021-10-31,Premium,9,4,33088
57,7873,Female,45,Pune,Tablet,Home Appliances,2,75913,Net Banking,2023-05-11,Premium,1,1,151826
58,6675,Female,53,Pune,Headphones,Accessories,3,89731,Cash,2022-12-30,New,25,3,269193
59,1161,Male,19,Mumbai,TV,Accessories,1,41959,Net Banking,2022-02-08,New,17,3,41959
60,5297,Male,63,Hyderabad,Headphones,Fashion,4,75019,Net Banking,2022-09-13,New,17,3,300076
61,1995,Unknown,37,Chennai,Shoes,Home Appliances,1,45821,Net Banking,2024-05-05,Premium,6,1,45821
62,8629,Male,57,Kolkata,Tablet,Electronics,2,15025,Net Banking,2024-08-07,New,23,2,30050
63,2016,Male,53,Chennai,Shoes,Electronics,1,3269,Net Banking,2021-05-19,New,19,4,3269
64,8869,Unknown,25,Bangalore,Watch,Fashion,2,57546,Debit Card,2023-11-14,Premium,9,4,115092
65,7439,Unknown,56,Pune,TV,Accessories,2,17395,Cash,2021-08-25,Premium,17,4,34790
66,8892,Female,42,Hyderabad,Bag,Electronics,2,88379,Credit Card,2021-06-13,Premium,25,3,176758
67,7863,Female,32,Kolkata,Mobile,Electronics,1,40406,Debit Card,2024-06-09,Regular,13,4,40406
68,8916,Male,47,Pune,Shirt,Electronics,2,62780,Net Banking,2021-07-19,Premium,3,2,125560
69,9529,Unknown,64,Kolkata,Shoes,Home Appliances,3,22568,UPI,2023-08-18,New,15,4,67704
70,1878,Unknown,51,Delhi,Tablet,Electronics,3,54347,UPI,2021-08-09,Regular,8,2,163041
71,5887,Female,21,Bangalore,Tablet,Electronics,4,71511,Credit Card,2022-12-06,Premium,5,2,286044
72,5859,Female,39,Hyderabad,Laptop,Fashion,3,61574,Debit Card,2021-10-09,Premium,11,1,184722
73,7331,Male,42,Delhi,Tablet,Home Appliances,2,55246,Debit Card,2021-08-05,Premium,5,2,110492
74,9571,Unknown,26,Mumbai,Headphones,Electronics,1,78368,Credit Card,2022-07-08,Premium,8,2,78368
75,9684,Female,40,Mumbai,Mobile,Home Appliances,1,31255,Debit Card,2022-10-24,Premium,16,4,31255
76,8208,Male,56,Delhi,Bag,Fashion,2,64145,Credit Card,2022-03-11,New,1,2,128290
77,6276,Male,29,Kolkata,TV,Home Appliances,4,11229,Cash,2022-06-29,Regular,27,1,44916
78,3062,Male,31,Bangalore,Bag,Fashion,2,30242,Credit Card,2022-06-29,New,26,1,60484
79,1064,Female,24,Delhi,Tablet,Fashion,4,75064,Cash,2021-04-12,Regular,26,1,300256
80,9006,Female,48,Pune,Shoes,Fashion,4,4604,Debit Card,2023-08-21,Premium,4,2,18416
81,3568,Female,23,Hyderabad,Watch,Fashion,2,76067,Cash,2021-10-14,Premium,20,4,152134
82,6463,Female,40,Pune,Tablet,Fashion,1,13152,Credit Card,2021-05-28,New,19,4,13152
83,3027,Female,36,Pune,Headphones,Electronics,3,50278,UPI,2022-02-09,Premium,28,1,150834
84,3695,Unknown,38,Delhi,Watch,Accessories,3,19063,Net Banking,2024-03-12,Premium,3,4,57189
85,6258,Unknown,36,Hyderabad,Watch,Accessories,3,77770,Credit Card,2024-04-05,Premium,22,3,233310
86,6618,Unknown,64,Hyderabad,Camera,Accessories,2,35662,Net Banking,2022-11-05,New,4,3,71324
87,7736,Unknown,36,Mumbai,Headphones,Electronics,4,43610,Cash,2022-07-29,New,26,3,174440
88,1391,Male,61,Hyderabad,Shirt,Fashion,1,53646,UPI,2022-09-18,New,7,4,53646
89,6892,Male,51,Chennai,Watch,Accessories,1,34040,Credit Card,2021-03-02,Regular,0,1,34040
90,4561,Unknown,60,Pune,Camera,Accessories,3,21213,Cash,2022-02-10,Premium,17,2,63639
91,7184,Female,30,Mumbai,TV,Electronics,3,29742,Debit Card,2024-11-28,Premium,2,4,89226
92,4099,Unknown,53,Pune,TV,Home Appliances,3,68634,Debit Card,2021-10-08,Premium,8,2,205902
93,7278,Unknown,42,Mumbai,Shoes,Accessories,3,89751,Credit Card,2021-10-22,Premium,1,3,269253
94,9392,Male,50,Delhi,Bag,Fashion,2,25671,Debit Card,2022-05-06,Premium,2,4,51342
95,4104,Female,38,Kolkata,Shoes,Accessories,2,47366,Debit Card,2022-03-16,Regular,5,4,94732
96,8215,Male,51,Hyderabad,Laptop,Home Appliances,1,80415,Cash,2021-02-20,Regular,9,1,80415
97,3454,Female,63,Pune,Tablet,Home Appliances,4,74529,Net Banking,2023-01-20,Premium,22,1,298116
98,9996,Male,42,Delhi,Tablet,Accessories,1,42866,Cash,2023-05-09,New,6,1,42866
99,3731,Unknown,35,Hyderabad,Camera,Fashion,1,8671,Cash,2023-01-15,New,9,2,8671
100,9154,Female,60,Mumbai,Headphones,Electronics,4,7007,UPI,2021-06-12,Premium,27,3,28028
101,6056,Male,28,Chennai,Shirt,Electronics,4,37552,UPI,2023-01-22,Premium,7,4,150208
102,9110,Unknown,36,Pune,Bag,Fashion,4,73512,Credit Card,2021-08-10,Premium,27,1,294048
103,4840,Male,51,Kolkata,Camera,Fashion,1,60136,UPI,2023-02-11,Premium,4,3,60136
104,2028,Male,19,Mumbai,TV,Home Appliances,3,32182,Net Banking,2023-07-18,Regular,20,1,96546
105,8385,Male,47,Bangalore,Camera,Electronics,2,74320,Credit Card,2021-10-08,Premium,3,3,148640
106,1502,Unknown,62,Delhi,Shirt,Electronics,3,36148,Debit Card,2022-05-09,New,6,2,108444
107,7910,Female,55,Chennai,TV,Home Appliances,3,57005,Debit Card,2021-08-01,Premium,3,4,171015
108,7938,Male,32,Delhi,Shirt,Electronics,1,55176,Cash,2024-02-02,Premium,17,1,55176
109,5488,Unknown,28,Kolkata,Shirt,Electronics,2,38040,Cash,2021-03-18,New,15,1,76080
110,1206,Male,41,Hyderabad,TV,Fashion,2,35342,Credit Card,2023-05-26,Premium,18,4,70684
111,6134,Female,21,Delhi,Bag,Home Appliances,2,5493,Credit Card,2021-02-14,Regular,16,3,10986
112,6977,Male,36,Mumbai,Shoes,Fashion,3,81186,Cash,2023-09-10,Regular,13,1,243558
113,8721,Unknown,46,Mumbai,Laptop,Electronics,4,9235,Cash,2021-02-22,New,25,4,36940
114,8035,Male,31,Kolkata,Camera,Fashion,3,48990,Credit Card,2022-02-15,Premium,1,2,146970
115,2484,Male,34,Delhi,Watch,Fashion,1,39205,Net Banking,2021-03-28,Premium,23,1,39205
116,8858,Female,25,Hyderabad,Shoes,Electronics,2,89953,UPI,2023-01-09,New,15,4,179906
117,1863,Female,30,Hyderabad,Shoes,Accessories,3,26492,UPI,2021-04-28,Premium,5,4,79476
118,3790,Female,40,Chennai,Shirt,Accessories,2,79879,Debit Card,2023-01-29,Regular,6,4,159758
119,8408,Male,46,Mumbai,Tablet,Accessories,4,65771,Credit Card,2021-03-18,Regular,28,1,263084
120,9755,Unknown,64,Delhi,Headphones,Fashion,2,63721,Credit Card,2024-05-20,Regular,21,1,127442
121,6116,Male,28,Chennai,Tablet,Accessories,2,8526,Net Banking,2024-11-16,Premium,21,1,17052
122,7019,Male,33,Bangalore,Headphones,Electronics,2,17397,UPI,2022-04-18,Regular,8,2,34794
123,2757,Male,61,Chennai,Bag,Accessories,4,71934,Net Banking,2021-09-24,New,26,4,287736
124,8574,Male,40,Kolkata,Shoes,Electronics,3,24367,Net Banking,2022-01-22,Regular,10,4,73101
125,7374,Female,29,Pune,Shoes,Fashion,3,4504,UPI,2024-08-29,Regular,17,4,13512
126,7892,Female,55,Kolkata,Mobile,Fashion,3,10799,UPI,2022-06-09,Regular,12,1,32397
127,2678,Female,41,Bangalore,Laptop,Electronics,2,4747,Net Banking,2023-11-27,Regular,0,4,9494
128,4242,Female,48,Kolkata,Headphones,Accessories,4,25535,Cash,2023-05-26,Regular,3,2,102140
129,5636,Unknown,55,Kolkata,Bag,Electronics,2,80620,Cash,2023-08-10,New,15,1,161240
130,2059,Male,53,Bangalore,TV,Electronics,3,28964,Debit Card,2021-12-18,Regular,16,1,86892
131,7668,Male,18,Chennai,Watch,Home Appliances,4,83333,UPI,2023-02-08,Regular,13,1,333332
132,4157,Male,43,Mumbai,Watch,Electronics,3,39837,Credit Card,2024-06-08,Regular,9,2,119511
133,6915,Unknown,34,Chennai,Camera,Home Appliances,1,26704,Net Banking,2024-11-17,New,23,3,26704
134,3693,Unknown,53,Chennai,TV,Electronics,2,64621,Cash,2022-01-04,New,9,1,129242
135,4627,Female,34,Pune,Headphones,Accessories,4,35876,Cash,2024-07-05,Premium,23,3,143504
136,6450,Male,54,Mumbai,Headphones,Electronics,1,24041,UPI,2024-01-08,New,7,4,24041
137,2663,Male,44,Mumbai,Bag,Electronics,4,54546,Net Banking,2021-02-24,New,8,2,218184
138,6592,Unknown,42,Pune,Bag,Accessories,2,40071,Debit Card,2024-05-14,Regular,26,1,80142
139,8392,Male,47,Mumbai,Laptop,Accessories,3,84974,Credit Card,2024-09-14,Premium,7,4,254922
140,2306,Unknown,58,Kolkata,Shirt,Electronics,3,17548,Cash,2023-10-10,Regular,28,1,52644
141,7776,Female,42,Mumbai,TV,Home Appliances,2,88370,Credit Card,2023-05-04,Regular,6,4,176740
142,6864,Unknown,55,Pune,Shoes,Home Appliances,2,77407,Credit Card,2022-03-23,Regular,25,3,154814
143,8526,Male,49,Mumbai,Mobile,Electronics,3,37564,Debit Card,2023-02-12,Premium,6,4,112692
144,9901,Unknown,29,Kolkata,Tablet,Accessories,4,6774,Credit Card,2024-01-29,New,23,3,27096
145,6575,Unknown,38,Pune,Bag,Accessories,4,16994,UPI,2022-11-18,Premium,23,2,67976
146,6530,Female,59,Mumbai,Headphones,Home Appliances,2,1536,Debit Card,2021-08-11,New,19,3,3072
147,5413,Male,51,Chennai,Watch,Electronics,4,77432,Net Banking,2021-04-21,Regular,19,1,309728
148,4748,Male,18,Kolkata,Camera,Fashion,1,78207,Credit Card,2023-10-23,Regular,1,4,78207
149,1663,Female,30,Pune,Camera,Fashion,2,4308,Debit Card,2023-08-04,Premium,28,2,8616
150,2998,Unknown,38,Delhi,Tablet,Fashion,1,39160,UPI,2021-06-05,New,16,4,39160
151,8994,Unknown,18,Kolkata,Headphones,Fashion,4,62826,UPI,2023-05-27,New,14,4,251304
152,2495,Male,30,Delhi,Shoes,Accessories,1,76844,Credit Card,2022-12-02,New,10,3,76844
153,4304,Unknown,48,Delhi,Bag,Fashion,1,58988,Credit Card,2023-05-02,Premium,5,3,58988
154,4763,Female,40,Chennai,Laptop,Electronics,3,67437,Net Banking,2021-07-27,Premium,28,4,202311
155,6232,Male,20,Mumbai,Watch,Home Appliances,4,78956,UPI,2023-09-22,Regular,29,1,315824
156,2853,Unknown,28,Bangalore,TV,Home Appliances,4,47984,Net Banking,2021-10-20,Premium,9,1,191936
157,7585,Female,46,Mumbai,Camera,Accessories,4,87394,Debit Card,2024-12-16,New,9,1,349576
158,2291,Female,35,Hyderabad,Bag,Accessories,4,49394,Debit Card,2024-08-01,Premium,10,2,197576
159,4581,Male,42,Mumbai,Tablet,Fashion,3,58973,Credit Card,2023-07-31,New,16,3,176919
160,8554,Male,51,Kolkata,Bag,Fashion,3,54562,Net Banking,2022-05-06,Premium,7,3,163686
161,8280,Unknown,35,Pune,Watch,Electronics,1,64597,Cash,2021-07-14,Premium,24,3,64597
162,2636,Unknown,18,Kolkata,Bag,Home Appliances,1,24571,Cash,2022-06-11,Premium,1,3,24571
163,4696,Unknown,45,Pune,TV,Electronics,4,85474,UPI,2022-02-03,New,28,1,341896
164,1698,Female,21,Kolkata,Mobile,Home Appliances,3,37504,Cash,2022-12-07,Regular,3,2,112512
165,5737,Female,38,Delhi,Headphones,Accessories,4,77807,Credit Card,2024-02-15,Premium,6,1,311228
166,1854,Unknown,23,Mumbai,Tablet,Accessories,2,12644,Credit Card,2023-08-24,Premium,15,4,25288
167,9164,Male,38,Mumbai,Shirt,Home Appliances,4,28862,UPI,2022-03-03,New,17,1,115448
168,6855,Female,54,Pune,Headphones,Electronics,4,41967,Cash,2023-10-14,Premium,8,1,167868
169,8392,Female,47,Hyderabad,Bag,Fashion,4,37279,Net Banking,2024-04-05,New,18,4,149116
170,7528,Unknown,37,Kolkata,Mobile,Home Appliances,3,25401,Net Banking,2021-08-16,Regular,19,2,76203
171,6249,Male,58,Bangalore,Tablet,Fashion,4,3490,Net Banking,2023-05-19,Premium,13,1,13960
172,6172,Female,49,Bangalore,Camera,Home Appliances,4,80205,Credit Card,2022-11-20,Premium,21,2,320820
173,2707,Male,48,Delhi,Watch,Home Appliances,1,66832,Cash,2023-02-24,New,2,1,66832
174,6791,Female,53,Pune,Shoes,Electronics,2,7260,Debit Card,2022-04-01,New,22,4,14520
175,6535,Male,42,Bangalore,Tablet,Fashion,4,15386,Net Banking,2021-02-25,Regular,26,1,61544
176,5931,Male,22,Delhi,Headphones,Home Appliances,3,47948,Cash,2024-01-13,Regular,18,3,143844
177,4510,Female,25,Chennai,TV,Fashion,4,76144,Credit Card,2023-02-01,New,20,1,304576
178,1202,Male,34,Kolkata,Headphones,Fashion,4,59286,Cash,2024-11-03,New,15,4,237144
179,5218,Female,32,Hyderabad,Headphones,Accessories,1,32957,Debit Card,2024-10-21,New,2,4,32957
180,9958,Female,37,Mumbai,Tablet,Electronics,2,50329,Debit Card,2024-02-28,Regular,14,4,100658
181,5389,Male,62,Hyderabad,Headphones,Electronics,1,21886,UPI,2024-03-01,Premium,20,3,21886
182,3327,Female,64,Bangalore,Shirt,Fashion,1,82530,Credit Card,2024-11-20,New,20,3,82530
183,9004,Male,46,Pune,Watch,Electronics,3,7839,Cash,2021-04-30,Regular,7,1,23517
184,3931,Female,53,Kolkata,Laptop,Electronics,2,77790,Net Banking,2022-12-01,New,11,4,155580
185,8777,Male,45,Kolkata,Tablet,Accessories,4,44660,Cash,2022-12-01,Regular,20,2,178640
186,1197,Female,25,Kolkata,Tablet,Electronics,4,88422,Debit Card,2022-05-01,Regular,26,1,353688
187,8125,Female,31,Mumbai,TV,Electronics,2,11776,UPI,2021-11-05,New,12,3,23552
188,2930,Unknown,50,Hyderabad,Tablet,Home Appliances,3,9209,Debit Card,2023-04-12,New,17,3,27627
189,7287,Female,51,Hyderabad,Shirt,Home Appliances,3,64966,Credit Card,2023-09-18,Premium,26,3,194898
190,9800,Female,46,Kolkata,Watch,Home Appliances,3,32175,Credit Card,2021-11-01,Regular,24,2,96525
191,5282,Male,39,Pune,Headphones,Home Appliances,1,7253,Net Banking,2024-09-09,New,28,3,7253
192,3511,Male,20,Pune,Headphones,Electronics,1,79984,Debit Card,2024-07-26,Regular,20,2,79984
193,1659,Male,40,Delhi,Bag,Fashion,2,17688,Cash,2023-06-03,New,2,4,35376
194,3811,Male,20,Pune,Bag,Home Appliances,2,43469,Credit Card,2022-10-07,Premium,17,3,86938
195,8098,Unknown,23,Pune,Camera,Home Appliances,2,42542,UPI,2022-11-10,Premium,0,3,85084
196,7546,Unknown,57,Pune,Bag,Fashion,3,58243,Net Banking,2022-08-08,Premium,26,4,174729
197,2986,Male,40,Kolkata,Bag,Fashion,3,86437,Cash,2023-03-24,Premium,25,1,259311
198,9338,Male,29,Chennai,Camera,Fashion,4,65213,Cash,2023-09-15,Regular,4,3,260852
199,3911,Male,22,Hyderabad,Headphones,Accessories,1,49524,UPI,2022-11-08,Premium,18,4,49524
200,2734,Male,22,Pune,Camera,Fashion,4,29511,Cash,2022-08-15,Regular,2,1,118044
201,2843,Female,20,Mumbai,Headphones,Electronics,4,15410,Net Banking,2024-08-06,New,29,2,61640
202,9680,Male,21,Chennai,TV,Electronics,2,9250,Debit Card,2021-05-02,Premium,15,1,18500
203,3976,Female,41,Chennai,Headphones,Accessories,2,50010,Credit Card,2022-08-16,Premium,9,1,100020
204,2959,Male,22,Kolkata,Shoes,Home Appliances,4,78015,Net Banking,2022-08-13,Premium,29,3,312060
205,6759,Unknown,48,Pune,TV,Fashion,1,53966,Net Banking,2023-08-31,Regular,1,3,53966
206,7694,Unknown,52,Mumbai,Camera,Home Appliances,3,8613,Credit Card,2023-05-06,New,14,2,25839
207,3385,Male,59,Chennai,Mobile,Electronics,1,19837,Cash,2022-06-26,New,7,1,19837
208,5736,Unknown,36,Bangalore,Bag,Accessories,3,51238,Debit Card,2022-11-27,Premium,13,1,153714
209,2802,Unknown,25,Kolkata,Tablet,Accessories,4,89018,Credit Card,2021-08-14,Premium,18,3,356072
210,9155,Unknown,45,Chennai,Headphones,Home Appliances,4,63808,Net Banking,2024-12-11,Regular,17,4,255232
211,9120,Unknown,55,Delhi,Camera,Home Appliances,2,16005,UPI,2022-07-06,Premium,1,2,32010
212,7616,Female,40,Chennai,Mobile,Fashion,3,25975,UPI,2022-01-08,Premium,11,2,77925
213,6534,Female,24,Hyderabad,Watch,Accessories,1,52195,Net Banking,2024-01-05,Regular,22,3,52195
214,5061,Female,55,Pune,Shirt,Electronics,2,39346,UPI,2023-11-06,New,18,1,78692
215,1262,Female,30,Chennai,Tablet,Accessories,2,36567,Net Banking,2021-09-23,New,21,1,73134
216,7287,Male,62,Delhi,Headphones,Electronics,2,5860,UPI,2023-11-06,Regular,4,1,11720
217,9815,Unknown,38,Delhi,Shirt,Home Appliances,3,75181,Credit Card,2022-08-21,New,4,1,225543
218,3049,Unknown,54,Pune,Mobile,Home Appliances,4,64035,Credit Card,2022-02-23,Premium,18,3,256140
219,6423,Male,23,Kolkata,Bag,Fashion,1,70860,Credit Card,2021-07-27,New,24,2,70860
220,5548,Male,27,Kolkata,Bag,Electronics,1,7726,Cash,2021-02-23,New,7,4,7726
221,4108,Female,44,Chennai,Watch,Fashion,2,36346,Cash,2024-07-04,Premium,3,4,72692
222,8158,Female,43,Bangalore,Headphones,Home Appliances,3,31793,Cash,2021-08-30,New,2,4,95379
223,8400,Unknown,59,Chennai,Shoes,Home Appliances,3,63408,UPI,2024-06-08,Regular,25,1,190224
224,4170,Male,45,Mumbai,Headphones,Fashion,4,19538,Debit Card,2024-04-10,Premium,19,3,78152
225,3255,Unknown,33,Delhi,Bag,Accessories,1,86959,UPI,2022-07-08,Regular,28,1,86959
226,2154,Male,45,Chennai,Laptop,Fashion,2,25581,Net Banking,2022-09-01,New,25,2,51162
227,5499,Female,20,Bangalore,Laptop,Electronics,3,6881,Cash,2021-12-29,New,11,4,20643
228,7295,Unknown,18,Kolkata,Bag,Home Appliances,3,69957,Cash,2024-10-11,Regular,10,2,209871
229,7197,Unknown,20,Kolkata,TV,Electronics,3,26627,Credit Card,2023-07-20,Premium,4,3,79881
230,2648,Male,47,Bangalore,Shoes,Accessories,3,4775,Credit Card,2022-12-07,Premium,10,1,14325
231,6539,Unknown,36,Bangalore,Laptop,Home Appliances,2,9498,UPI,2023-04-19,Premium,8,4,18996
232,5199,Female,50,Hyderabad,Bag,Home Appliances,1,68716,Credit Card,2021-02-13,Premium,21,4,68716
233,9445,Unknown,25,Hyderabad,Headphones,Fashion,4,13526,Debit Card,2024-10-30,Regular,3,2,54104
234,3557,Male,36,Hyderabad,Headphones,Fashion,2,46894,Debit Card,2023-07-17,Regular,0,3,93788
235,6592,Unknown,53,Pune,Mobile,Electronics,4,74993,Net Banking,2024-12-11,Regular,24,1,299972
236,1098,Female,54,Mumbai,Shirt,Fashion,1,63129,Net Banking,2023-05-13,Premium,24,3,63129
237,3200,Male,22,Mumbai,Mobile,Home Appliances,2,3730,Debit Card,2022-02-23,Regular,18,2,7460
238,3961,Male,51,Pune,TV,Fashion,1,52532,UPI,2024-04-14,Regular,27,4,52532
239,5973,Female,55,Chennai,Shoes,Home Appliances,3,44202,UPI,2022-03-06,Premium,5,4,132606
240,5433,Male,44,Hyderabad,Headphones,Fashion,3,23757,Net Banking,2023-11-15,New,1,4,71271
241,3869,Male,56,Hyderabad,Laptop,Fashion,2,57762,Net Banking,2021-04-08,New,15,4,115524
242,1956,Unknown,64,Mumbai,Laptop,Home Appliances,1,15274,Debit Card,2023-05-15,Premium,16,1,15274
243,9352,Male,59,Bangalore,Laptop,Electronics,1,74017,UPI,2024-10-01,New,3,2,74017
244,6699,Unknown,59,Bangalore,Shirt,Electronics,2,71523,UPI,2024-02-01,Premium,12,1,143046
245,7944,Female,41,Pune,TV,Home Appliances,3,63042,Cash,2023-12-14,New,14,2,189126
246,5493,Female,48,Pune,Shirt,Electronics,4,88426,UPI,2021-06-29,New,0,2,353704
247,5911,Female,39,Pune,Laptop,Electronics,2,35431,Cash,2023-12-03,Regular,12,4,70862
248,4987,Female,40,Delhi,Shoes,Accessories,1,77329,UPI,2024-04-24,Premium,11,3,77329
249,7015,Male,58,Pune,Laptop,Home Appliances,4,43393,Credit Card,2021-04-10,Premium,29,1,173572
250,2218,Male,41,Chennai,TV,Fashion,3,75486,UPI,2021-01-16,New,7,4,226458
251,5496,Unknown,57,Chennai,Camera,Fashion,3,61370,Cash,2023-12-09,Regular,24,2,184110
252,5735,Unknown,49,Kolkata,Shirt,Accessories,3,47071,Cash,2024-10-08,New,13,3,141213
253,5555,Unknown,50,Kolkata,TV,Home Appliances,2,79619,UPI,2021-06-21,Premium,12,4,159238
254,9050,Male,45,Hyderabad,Bag,Fashion,1,22721,Credit Card,2021-08-29,Premium,12,3,22721
255,4446,Unknown,34,Mumbai,Watch,Electronics,3,77791,Cash,2021-10-31,New,4,4,233373
256,2045,Male,43,Chennai,Bag,Fashion,3,75032,Net Banking,2023-01-10,Premium,22,4,225096
257,7893,Female,35,Bangalore,Bag,Home Appliances,4,86187,Net Banking,2021-08-30,New,11,2,344748
258,2693,Male,32,Kolkata,Laptop,Fashion,3,63421,Cash,2023-10-15,Premium,13,4,190263
